entity,tag,category,Tagged,tag_status
النعمان,@NuCmanIbnMundhir,person,TRUE,FALSE
لخم بن عدي,@LakhmIbnCadi,person,TRUE,FALSE
عمرو بن عامر,@CamrIbnCamir,person,TRUE,FALSE
ربيعة بن نصر,@RabiCIbnNasr,person,TRUE,FALSE
سطيح,@SatihSoothsayer,person,TRUE,FALSE
أبرهة,@Abraha,person,TRUE,FALSE
شق,@ShiqqSoothsayer,person,TRUE,FALSE
بجيلة,@Bajila,person,TRUE,FALSE
تبان,@Tiban,person,TRUE,FALSE
عمرو بن طلة,@CAmrIbnTalla,person,TRUE,FALSE
حسان بن تبان,@HassanIbnTiban,person,TRUE,FALSE
عمرو,@CAmrIbnTiban,person,TRUE,FALSE
ذي نواس,@DhuNuwas,person,TRUE,FALSE
ذي شناتر,@DhuShanatir,person,TRUE,FALSE
عبد الله بن الثامر,@CabdallahIbnalThamir,person,TRUE,FALSE
ابن الثامر,@CabdallahIbnalThamir,person,TRUE,FALSE
قيصر,@EmperorRome,person,TRUE,FALSE
أرياط,@Aryat,person,TRUE,FALSE
النجاشي,@Negus,person,TRUE,FALSE
نفيل,@NufaylIbnHabib,person,TRUE,FALSE
عبد المطلب,@AbdalMuttalib,person,TRUE,FALSE
حناطة,@Hunata,person,TRUE,FALSE
ذو نفر,@DhuNafr,person,TRUE,FALSE
أنيس,@Unays,person,TRUE,FALSE
خويلد,@KhuwaylidIbnWathila,person,TRUE,FALSE
الأسود بن مقصود,@al-AswadIbnMafsud,person,TRUE,FALSE
سيف بن ذي يزن,@SayfIbnDhuYazan,person,TRUE,FALSE
ابن ذي يزن,@SayfIbnDhuYazan,person,TRUE,FALSE
وهرز,@Wahriz,person,TRUE,FALSE
كسرى,@ChosroesShah,person,TRUE,FALSE
نزار بن معد,@NizarIbnMaCd,person,TRUE,FALSE
مضر,@Mudar,person,TRUE,FALSE
أنمار,@Anmar,person,TRUE,FALSE
إلياس,@Ilyas,person,TRUE,FALSE
عمرو بن لحي,@CamrIbnLuhayy,person,TRUE,FALSE
عبد مناف,@AbdManaf,person,TRUE,FALSE
هاشم,@Hashim,person,TRUE,FALSE
عوف بن لؤي,@CaufIbnLuay,person,TRUE,FALSE
قصي بن كلاب,@QusayyIbnKilab,person,TRUE,FALSE
عبد شمس,@AbdShams,person,TRUE,FALSE
عبد الله بن عبد المطلب,@AbdAllahIbnMutallib,person,TRUE,FALSE
